Action: ADD ITEM CON6231 | Resonse: ITEM ADDED: true
Action: ADD ITEM CON7654 | Resonse: ITEM ADDED: true
Action: List of Items  | Resonse: {CON1012=Item{itemName='Data Structure', itemQty='5'}, CON1010=Item{itemName='Distributed System', itemQty='9'}, CON1011=Item{itemName='Absoulate Java', itemQty='11'}, CON1234=Item{itemName='RAFI', itemQty='9'}}
Action: List of Items  | Resonse: {CON1012=Item{itemName='Data Structure', itemQty='5'}, CON1010=Item{itemName='Distributed System', itemQty='10'}, CON1011=Item{itemName='Absoulate Java', itemQty='11'}, CON9876=Item{itemName='10', itemQty='8'}}
Action: List of Items  | Resonse: {CON1012=Item{itemName='Data Structure', itemQty='5'}, CON1010=Item{itemName='Distributed System', itemQty='10'}, CON1011=Item{itemName='Absoulate Java', itemQty='11'}}
Action: ADD ITEM CON9876 | Resonse: ITEM ADDED: true
Action: ADD ITEM CON9876 | Resonse: ITEM ADDED: true
Action: ADD ITEM CON9876 | Resonse: ITEM ADDED: true
Action: ADD ITEM CON9876 | Resonse: ITEM ADDED: true
Action: ADD ITEM CON9876 | Resonse: ITEM ADDED: true
Action: ADD ITEM CON9876 | Resonse: ITEM ADDED: true
Action: ADD ITEM CON9876 | Resonse: ITEM ADDED: true
Action: ADD ITEM CON9876 | Resonse: ITEM ADDED: true
Action: ADD ITEM CON9876 | Resonse: ITEM ADDED: true
Action: ADD ITEM CON9812 | Resonse: ITEM ADDED: true
Action: ADD ITEM CON6755 | Resonse: ITEM ADDED: true
Action: ADD ITEM CON6543 | Resonse: ITEM ADDED: true
Action: ADD ITEM CON9873 | Resonse: ITEM ADDED: true
Action: ADD ITEM CON0987 | Resonse: ITEM ADDED: true
Action: ADD ITEM CON9876 | Resonse: ITEM ADDED: true
Action: ADD ITEM CON9871 | Resonse: ITEM ADDED: true
Action: ADD ITEM CON9876 | Resonse: ITEM ADDED: true
Action: ADD ITEM CON9866 | Resonse: ITEM ADDED: true
Action: ADD ITEM CON9872 | Resonse: ITEM ADDED: true
Action: ADD ITEM CON3421 | Resonse: ITEM ADDED: true
Action: REMOVE ITEM CON3421 | Resonse: ITEM REMOVED: true
Action: List of Items  | Resonse: {CON1012=Item{itemName='Data Structure', itemQty='5'}, CON3421=Item{itemName='JAI', itemQty='10'}, CON1010=Item{itemName='Distributed System', itemQty='10'}, CON1011=Item{itemName='Absoulate Java', itemQty='11'}, CON9876=Item{itemName='RAFI', itemQty='10'}, CON9866=Item{itemName='AF', itemQty='5'}, CON9872=Item{itemName='RAFI', itemQty='12'}}
Action: ADD ITEM CON9876 | Resonse: ITEM ADDED: true
Action: List of Items  | Resonse: {CON1012=Item{itemName='Data Structure', itemQty='5'}, CON1010=Item{itemName='Distributed System', itemQty='10'}, CON1011=Item{itemName='Absoulate Java', itemQty='11'}, CON9876=Item{itemName='1AA', itemQty='12'}}
Action: List of Items  | Resonse: {CON1012=Item{itemName='Data Structure', itemQty='5'}, CON1010=Item{itemName='Distributed System', itemQty='10'}, CON1011=Item{itemName='Absoulate Java', itemQty='11'}}
Action: List of Items  | Resonse: {CON1012=Item{itemName='Data Structure', itemQty='5'}, CON1010=Item{itemName='Distributed System', itemQty='10'}, CON1011=Item{itemName='Absoulate Java', itemQty='11'}}
Action: ADD ITEM CON9876 | Resonse: ITEM ADDED: true
Action: ADD ITEM CON9876 | Resonse: ITEM ADDED: true
Action: REMOVE ITEM CON9876 | Resonse: ITEM REMOVED: true
Action: List of Items  | Resonse: {CON1012=Item{itemName='Data Structure', itemQty='5'}, CON1010=Item{itemName='Distributed System', itemQty='10'}, CON1011=Item{itemName='Absoulate Java', itemQty='11'}, CON9876=Item{itemName='RAFI', itemQty='9'}}
Action: List of Items  | Resonse: {CON1012=Item{itemName='Data Structure', itemQty='5'}, CON1010=Item{itemName='Distributed System', itemQty='10'}, CON1011=Item{itemName='Absoulate Java', itemQty='11'}, CON9876=Item{itemName='RAFI', itemQty='9'}}
Action: List of Items  | Resonse: {CON1012=Item{itemName='Data Structure', itemQty='5'}, CON1010=Item{itemName='Distributed System', itemQty='10'}, CON1011=Item{itemName='Absoulate Java', itemQty='11'}, CON9876=Item{itemName='RAFI', itemQty='9'}}
Action: List of Items  | Resonse: {CON1012=Item{itemName='Data Structure', itemQty='5'}, CON1010=Item{itemName='Distributed System', itemQty='10'}, CON1011=Item{itemName='Absoulate Java', itemQty='11'}, CON9876=Item{itemName='RAFI', itemQty='9'}}
